Year,World,Aruba,Afghanistan,Angola,Albania,Andorra,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Faroe Islands,Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Lebanon,Liberia,Libya,St. Lucia,Liechtenstein,Sri Lanka,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,Marshall Islands,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1990,64.5,,120.4,131.3,35.5,9.1,25.3,41.7,,11.5,7.6,8,75.8,105.2,8.3,105.7,98.5,99.7,14.7,19.5,20,16.1,12.2,31.2,,83.9,52.4,16.2,10.2,89.1,36.2,115.5,6.8,6.6,,16.1,42.1,103.8,84.4,119.3,59,28.8,87.5,46.7,14,10.9,,,9.9,10.3,7,91.7,12.9,7.4,46.3,41.8,42,62.7,93.7,7.4,14,119.1,5.5,24.2,7.4,,59.7,7.9,40.9,79.7,,136.6,81.6,130.7,120.4,9.1,17.9,,59.3,,46.4,,45,11.1,100.2,15.2,61.8,,88.6,7.6,43.7,41.9,5.2,9.7,8.4,25.3,29.5,4.6,44.1,64.8,54,84.7,69.1,25.4,13.2,15,26.6,175.2,35.6,17.7,,18.7,68.3,39.74094413,11.9,7.2,13.2,,,62.5,6.3,27.5,96.2,63,36.2,39,32.3,119.8,10,81.2,14.8,77.1,,161.7,71.4,20,141,14.2,48.7,,132.8,124.3,50.6,6.8,7,97.1,46.5,9.2,31.5,106.7,25.6,56.7,39.9,29.9,62.2,15.2,,33.4,11.6,36.2,35.6,,17.7,24.2,18.4,91.9,91.9,35.6,81.6,71,6.1,31.3,154.4,46.1,12.3,107.3,24,68.8,38.7,12.6,8.8,5.9,51.3,,14,29.9,,111.7,89.2,30.2,80.5,64.8,131.3,18.9,26.8,43.2,55.4,41.6,100,106.8,16.6,20.2,9.4,59.4,19.6,24.7,,,36.9,29,,24.8,,88.3,44.5,107.4,49.5
1991,63.7,,116.8,131.2,34.1,8.8,24.9,40.1,,11.7,7.1,7.6,75.9,106.3,8.1,103.4,98.3,95.9,15.1,19.3,19.1,14.9,12.1,29.5,,81.1,50.3,15.5,10.3,85.6,36.4,115.2,6.6,6.4,,14.9,41.7,103.6,85.2,118.2,59.9,28,85,45.6,13.5,10.4,,,9.7,9.9,6.6,90.2,12.8,7,44.8,40.7,40.2,60.1,89.9,7.1,13.9,116.4,5.3,23.3,7.1,,59.2,7.4,40.6,77.4,,133.2,79.5,128.4,119.7,8.6,17.1,,57.1,,45.3,,43.2,10.5,97.6,14.7,59.4,,86.4,7.2,41.7,41.1,5,9.2,8,24.5,28.7,4.5,43.9,66.1,53.8,84.7,66.7,24.8,12.2,14.8,25.5,176.5,33.8,17.4,,18.6,68,39.07969086,13,6.8,14.3,,,60.1,6,27.7,93.4,59.9,34.7,37.6,30.8,117.9,9.7,79.6,14.1,74.3,,159.4,70.5,18.9,136.4,13.6,47.7,,130.5,124,48.6,6.6,6.4,92.7,44.8,8.7,28.8,104.7,25,54.1,38,29.9,61.2,14.8,,36.9,10.6,35.1,34.1,,16.6,23.2,18.3,94.6,89.5,33.1,80.4,70.3,5.5,30.6,153.7,43.9,11.4,105.4,22,69.1,37.5,12.1,8.2,5.6,51.1,,13.6,28.9,,110.5,88.1,28.8,82.5,64.2,125.8,18.3,26.4,41.5,52.7,41.1,98.7,104.4,16.5,19.5,9.1,59.1,19.1,23.9,,,35.4,27.8,,24.1,,86,43.5,107.1,50.4
1992,62.9,,113.3,131.3,32.9,8.6,24.2,38.5,,12.1,6.7,7.2,76.2,107,7.7,101.2,98.2,92.2,15.3,18.7,18.2,14.4,12.2,27.9,,78.3,48.1,14.9,10.2,82.2,36.9,114.8,6.4,6.1,,13.7,41.1,103.4,86.4,117.2,61.2,27.2,82.5,45,13.2,9.9,,,9.4,9.3,6.2,88.8,12.8,6.5,43.2,39.8,38.3,57.5,85.8,6.7,13.7,113.6,5,22.6,6.7,,58.7,6.9,40.3,75.6,,129.6,77.4,125.9,118.9,8.2,16.3,,54.9,,44.2,,41.5,9.9,95,13.9,57,,84.3,6.8,40,40.5,4.8,8.7,7.7,23.8,27.8,4.4,44.1,67.2,54,84.8,64.7,24.4,11.2,13.6,24.4,175.9,32.3,17,,18.4,68.1,38.31314449,14.2,6.4,15.1,,,57.9,5.8,28.5,90.7,57,33.3,36.3,30.4,116.2,9.3,77.9,13.8,71.7,,156.7,70,18.5,131.8,13,46.8,,127.6,123.7,46.5,6.3,5.9,88.4,43.3,8.2,26.4,102.7,24.5,51.4,36.3,29.7,60.1,14.3,,41.1,9.7,33.9,32.8,,15.6,22.8,18.5,98.8,87.3,30.9,79.1,70.1,5,29.8,152.9,41.7,10.5,104.2,21,69.1,36.3,11.6,7.6,5.2,51.8,,13.2,27.8,,109.3,86.9,27.4,85.7,64.1,120.6,17.7,26.1,39.9,50.1,40.5,97.5,102.1,16.6,19,8.8,59.1,18.9,23.3,,,34,26.8,,23.3,,84,42.9,106.5,51.6
1993,62,,109.9,131.4,31.8,8.4,23.4,36.9,,12.4,6.3,6.7,76.3,107.3,7.3,99.1,98.1,88.4,15.4,17.9,17.3,13.6,12.3,26.5,,75.6,45.8,14.4,10.2,78.9,37.6,114.2,6.2,5.8,,12.7,40.1,103,87.8,116.2,62.9,26.3,80.2,44.8,12.9,9.4,,,8.9,8.6,5.8,87.7,12.8,6.1,41.6,39,36.4,54.9,81.3,6.3,13.4,110.4,4.8,21.9,6.2,,58.2,6.6,40,74.3,,125.9,75.3,123.4,118.1,8,15.6,,52.9,,43.2,,39.9,9.4,92.5,12.7,54.7,,82.2,6.4,38.4,39.8,4.6,8.2,7.3,23.1,27.1,4.4,44.6,67.9,54,85.3,63,24,10.4,13.1,23.4,173.5,30.8,16.7,,18.1,68.6,37.27660505,14.5,5.9,15.7,,,55.6,5.5,29.4,88.1,54,31.9,35.2,28.7,114.7,9,76.2,13.6,69.2,,153.2,69.6,18.7,127.2,12.4,46.3,,124,123.1,44.5,6.1,5.4,84.3,41.7,7.8,24.1,100.6,24.1,48.6,34.9,29.4,59.1,13.9,,45.5,8.8,32.9,31.6,,14.7,22.6,18.6,104.9,85.1,28.9,77.8,70.3,4.6,29.1,152,39.7,9.6,103.7,20.2,68.8,35.1,11.1,7.1,4.8,53.5,,12.8,26.6,,108.2,85.7,26.1,88.2,64.4,115.6,17.2,25.8,38.2,47.6,39.7,96.3,100.1,16.9,18.6,8.5,58.9,18.7,22.8,,,32.4,26,,22.6,,82.3,42.9,105.1,53
1994,61,,106.7,131.2,30.8,8.2,22.4,35.3,,12.7,6,6.2,75.9,107,6.8,97.1,97.8,84.7,15.4,16.8,16.5,12.4,12.4,25.2,,72.8,43.3,14,10,75.6,38.4,113.8,6,5.5,,11.8,39,102.5,89,115.3,64.9,25.5,78.2,44.7,12.8,9,,,8.4,7.9,5.5,86.8,12.8,5.7,40.1,38,34.5,52.1,76.9,5.9,13,106.9,4.5,21.4,5.7,,57.8,6.3,39.5,73.3,,122.2,73.2,120.8,117.4,7.7,15,,50.9,,42.1,,38.3,9,89.8,11.6,52.6,,80.1,6.2,36.9,39.1,4.4,7.6,6.8,22.5,26.3,4.2,44.9,68,53.3,85.8,61.5,23.7,9.6,12.7,22.4,169.4,29.6,16.5,,17.7,69.5,36.16154894,13.4,5.6,15.8,,,53.5,5.3,30.4,85.6,51,30.6,34.2,25.2,113.3,8.6,74.5,13.5,66.8,,149.2,69.5,19.2,122.8,11.9,46.2,,119.9,122.4,42.4,5.9,4.9,80.3,40.3,7.5,22.1,98.3,23.7,45.7,33.6,28.9,58.2,13.4,,49.8,8.1,32,30.5,,13.9,22.3,18.6,120.2,82.8,27,76.4,70.6,4.2,28.4,151,37.6,8.8,103.6,18.8,68,33.9,10.6,6.7,4.4,55.5,,12.6,25.5,,107.2,84.4,24.9,88.6,64.8,110.7,16.8,25.6,36.3,45.1,38.9,95,98.5,17.1,18.3,8.2,58.4,18.7,22.5,,,31,25.3,,21.8,,80.7,43.2,103.5,54.3
1995,59.9,,103.7,130.8,29.7,7.9,21.4,33.8,,13,5.8,5.7,75,106.1,6.3,95.2,97.2,81,15.4,15.5,15.8,11.7,12.4,24.1,,70,40.9,13.7,9.7,72.4,39.1,113.3,5.8,5.2,,11.1,37.7,101.8,89.8,114.3,67,24.7,76.6,44,12.7,8.6,,,7.9,7.1,5.3,85.9,12.9,5.4,38.6,37.1,32.6,49.4,72.6,5.6,12.4,103.4,4.3,20.9,5.3,,57.3,6.1,38.8,72.4,,118.4,71.1,118.2,116.5,7.4,14.4,,49,,41.2,,36.9,8.6,87.1,10.8,50.4,,78,6.1,35.5,38.5,4.2,7.1,6.4,21.8,25.7,4.1,44.8,67.6,52.1,86.4,60.2,23.3,8.9,12.3,21.4,164,28.4,16.3,,17.1,70.4,34.90983894,11.9,5.2,15.7,,,51.3,5.1,31.2,82.9,47.9,29.3,33.6,21.6,111.8,8.3,72.8,13.5,64.4,,144.4,69.4,19.9,119.1,11.5,46.3,,115.3,121.3,40.4,5.7,4.6,76.6,39,7.2,20.4,96,23.4,42.8,32.4,28.4,57.4,12.6,,53.2,7.5,31.1,29.4,,13.1,22,18.6,119.9,80.5,25.3,75,71,4,27.7,149.7,35.6,8.1,103.6,17,66.7,32.7,10.1,6.2,4,57.7,,12.3,24.4,,106.2,83,23.7,87.1,65,106,16.5,25.4,34.4,42.7,38,93.5,97.3,17.3,17.9,7.9,57.9,18.8,22.1,,,29.5,24.8,,21.1,,79.3,43.8,101.4,55.5
1996,58.7,,100.8,129.9,28.6,7.7,20.5,32.4,,13.2,5.6,5.3,73.4,104.7,5.9,93.3,96.2,77.3,15.5,14.2,15.1,10.8,12.2,23.1,,67.2,38.5,13.5,9.4,69.2,37.2,112.8,5.6,5,,10.6,36.4,100.9,90.3,113.1,69.1,23.9,75.3,42.6,12.7,8.2,,,7.4,6.4,5,85,13,5.2,37.3,36.3,30.7,46.6,68.6,5.2,11.7,100,4.1,20.5,5,,56.8,6,37.9,71.3,,114.6,69,115.5,115.4,7.1,14,,47.2,,40.3,,35.5,8.3,84.4,10.3,48.4,,75.8,6.1,34.1,37.9,4,6.7,6,21.1,25,3.9,44,66.5,50.4,86.8,58.8,22.8,8.3,12,20.5,157.5,27.4,16.1,,16.5,70.9,33.63069864,10.7,4.9,15.2,,,49.2,4.9,31.4,80.1,44.7,28.1,33.2,19.2,110.2,7.9,71.2,13.5,61.8,,138.6,69.4,20.3,116.2,11.1,46.4,,111,119.8,38.4,5.5,4.4,73,37.7,6.9,18.9,93.6,23.2,39.9,31.4,27.8,56.5,11.6,,55.1,7,30.3,28.4,,12.6,21.7,18.4,115.1,78.2,23.7,73.5,71.2,3.8,27.1,148.1,33.7,7.5,103.6,15,65,31.5,9.7,5.8,3.8,59.7,,12.2,23.3,,105.2,81.5,22.6,84.4,64.7,101.4,16.3,25.2,32.5,40.3,37.1,91.7,96.2,17.3,17.4,7.7,57.2,18.9,21.5,,,28.1,24.4,,20.3,,77.9,44.4,99.5,55.7
1997,57.4,,98.1,128.4,27.5,7.4,19.7,30.9,,13.4,5.4,5,71.2,102.9,5.5,91.6,95,73.7,15.7,13.1,14.5,10.2,11.8,22.3,,64.4,36.3,13.4,9.1,66.1,36.6,112.2,5.5,4.9,,10.3,35,99.8,90.3,111.8,71.1,23.1,74.1,40.3,12.6,7.8,,,6.9,5.8,4.8,83.9,13.2,5,36,35.5,28.9,44,64.9,4.9,10.9,96.6,3.9,20.2,4.8,,56.3,5.9,36.8,70,,111,67,112.9,114,6.8,13.6,,45.5,,39.4,,34.1,8,81.7,9.9,46.4,,73.6,6.1,32.7,37.2,3.8,6.3,5.6,20.5,24.4,3.8,42.4,65.1,48.4,86.6,57.5,22.2,7.7,11.6,19.6,150.3,26.4,15.9,,15.9,72,32.27883184,9.8,4.6,14.3,,,47.2,4.7,31,77.1,41.4,26.9,33.1,17.6,108.4,7.5,69.6,13.4,59,,132.1,69.4,20.2,113.6,10.6,46.4,,107,117.9,36.5,5.4,4.3,69.5,36.5,6.7,17.5,91.2,22.9,37.1,30.6,27.1,55.7,10.4,,55,6.6,29.6,27.5,,12,21.4,18.1,118,75.8,22.3,71.9,71.1,3.6,26.6,146.3,31.9,6.9,103.6,13.3,62.9,30.4,9.3,5.5,3.6,61.6,,12,22.2,,104.1,79.9,21.6,80.8,63.8,97.1,16.1,25.1,30.4,38,36.1,89.3,94.8,17.2,16.7,7.5,56.3,19,20.7,,,26.8,25,,19.7,,76.2,44.9,97.7,55
1998,56,,95.3,126.5,26.4,7.1,18.9,29.6,,13.4,5.3,4.8,68.2,100.5,5.2,89.8,93.7,70.1,15.5,12.1,14.1,9.6,11.3,21.4,,61.5,34.2,13.4,8.8,63.1,35.8,111.6,5.4,4.8,,10.1,33.5,98.4,89.9,110.3,72.5,22.4,73.3,37.4,12.3,7.5,,,6.5,5.3,4.7,82.8,13.5,4.9,34.8,34.9,27.1,41.5,61.7,4.7,10.1,93.4,3.7,19.9,4.6,,55.7,5.8,35.4,68.3,,107.2,65,110.1,112.1,6.4,13.4,,43.9,,38.6,,36.2,7.7,79.2,9.6,44.5,,71.3,6.1,31.2,36.6,3.6,6.1,5.3,19.9,23.8,3.6,40.5,63.5,46.3,85.6,56.2,21.5,7.2,11.2,18.7,142.9,25.6,15.8,,15.3,73,30.84635841,9.3,4.3,13.4,,,45.3,4.5,29.9,74.1,38.2,25.8,33.1,16.4,106.4,7.2,68,13.3,56.1,,125.1,69.4,19.5,110.3,10.1,46.2,,103.4,115.5,35.8,5.3,4.1,66.1,35.4,6.5,16.2,88.8,22.6,34.4,29.8,26.5,54.9,9.4,,53.1,6.3,29,26.6,,11.6,20.5,17.7,119.3,73.4,21,70.2,70.6,3.4,26.2,144.2,30.2,6.3,103.6,12.1,60.6,29.4,8.9,5.1,3.5,63.5,,11.9,21.3,,102.9,78.2,20.6,76.6,62.2,92.9,15.9,25.1,28.5,35.7,35.1,86.3,93,16.9,16,7.4,55.1,19.1,19.9,,,25.5,23.9,,19,,74,45.3,95.6,54
1999,54.4,,92.7,124.1,25.3,6.8,18.2,28.3,,13.2,5.2,4.7,64.8,97.9,5,88,92.4,66.7,14.9,11.3,13.9,9.1,10.7,20.7,,58.6,32.2,13.5,8.5,60.2,34.2,111,5.3,4.7,,9.8,31.9,96.9,88.9,108.6,73.1,21.7,72.6,34.1,11.6,7.2,,,6.1,4.8,4.5,81.5,13.7,4.8,33.8,34.4,25.6,39.2,58.8,4.5,9.4,90.2,3.6,19.6,4.5,,54.8,5.7,33.8,66.3,,103.6,63.1,107.4,110,6,13.1,,42.3,,37.7,,31.5,7.5,76.7,9.2,42.7,,69,6.1,29.7,35.9,3.4,5.8,5,19.3,23.2,3.4,38.5,61.7,44.4,83.3,54.8,20.7,6.8,10.9,17.8,135.1,24.9,15.7,,14.8,74.1,29.33585941,8.9,4.1,12.4,,,43.5,4.4,28.2,71.1,34.9,24.7,33.1,15.2,104.1,6.9,66.5,13,53.1,,118.4,69.3,18.1,105.8,9.4,45.6,,100.2,112.8,32.9,5.2,4,63,34.4,6.3,15.1,86.5,22.3,31.9,29.2,26,54.1,8.6,,49.4,5.9,28.4,25.8,,11.2,19.2,17.1,112.1,71,19.8,68.4,69.4,3.2,25.7,141.9,28.6,5.8,103.6,11.4,58.1,28.4,8.5,4.8,3.4,65.4,,11.9,20.4,,101.6,76.4,19.6,72.2,60.1,88.7,15.7,25,26.6,33.5,34.1,82.8,90.5,16.3,15.3,7.2,53.6,19.2,20.1,,,24.4,23.8,,18.3,,71.5,46,93.1,52.6
